Station Id,Air Temperature Maximum (degF),Air Temperature Minimum (degF),Precipitation Increment (in),Relative Humidity (pct) Mean of Hourly Values,Wind Speed Maximum (mph) Max of Hourly Values,Wind Speed Average (mph) Mean of Hourly Values,Solar Radiation Average (watt/m2) Mean of Hourly Values,Solar Radiation/langley Total (langley),Vapor Pressure - Partial (inch_Hg) Mean of Hourly Values,Vapor Pressure - Saturated (inch_Hg) Mean of Hourly Values,Soil Moisture Percent -2in (pct) Mean of Hourly Values,Soil Moisture Percent -4in (pct) Mean of Hourly Values,Soil Moisture Percent -8in (pct) Mean of Hourly Values,Soil Moisture Percent -20in (pct) Mean of Hourly Values,Soil Moisture Percent -40in (pct) Mean of Hourly Values,Soil Temperature Observed -2in (degF) Mean of Hourly Values,Soil Temperature Observed -4in (degF) Mean of Hourly Values,Soil Temperature Observed -8in (degF) Mean of Hourly Values,Soil Temperature Observed -20in (degF) Mean of Hourly Values,Soil Temperature Observed -40in (degF) Mean of Hourly Values,MonthOfYear,DayOfYear,WeekOfYear,Soil Temperature
2174,54,42,0.6,89,23.3,5.8,14.88,30.73,0.32,0.35,49.7,53.1,57,59.7,62.8,47,48,49,53,57,1,12,1,51.75
2174,51,42,0,89,16.8,8.2,29.39,60.69,0.28,0.31,55.4,57.1,60.5,59.6,62.6,48,49,50,53,57,1,13,2,52.25
2174,42,40,0,89,13.7,7,27.02,55.79,0.23,0.26,55.2,56.9,60.8,59.6,62.6,45,47,48,53,56,1,14,2,51
2174,43,32,0,88,10.3,3.1,47.62,98.3,0.21,0.24,51,56.1,60.3,59.6,62.6,45,46,47,52,56,1,15,2,50.25
2174,55,29,0,88,9.4,1.5,142.41,294.1,0.22,0.27,49.1,54.3,60.2,59.8,62.9,44,46,47,52,56,1,16,2,50.25
2174,54,41,0.16,97,11.8,3.6,26.67,55.07,0.34,0.35,52.4,56.1,60.3,59.9,62.4,47,48,48,51,56,1,17,2,50.75
2174,58,52,0.01,97,13.2,3,48.31,99.8,0.41,0.42,55.5,57.7,61.5,59.9,63.3,51,51,50,51,55,1,18,2,51.75
2174,65,37,1.16,91,30.4,12.5,49.21,101.6,0.42,0.46,56.5,58.6,62,60.1,62.1,54,53,53,52,55,1,19,2,53.25
2174,40,30,0,76,28.8,11.1,85.34,176.2,0.15,0.2,55.5,58.2,61.6,60.2,62.1,44,48,49,53,55,1,20,3,51.25
2174,47,27,0,76,11.1,3.4,146.24,302,0.15,0.21,50.7,55.8,61.1,59.9,63,42,44,46,52,55,1,21,3,49.25
2174,53,31,0,78,20.5,8.7,38.76,80,0.23,0.31,48.4,53.9,60.8,59.7,63.9,42,44,45,51,55,1,22,3,48.75
2174,61,37,1.96,97,23.5,8.6,12.1,24.98,0.39,0.4,53.8,56.9,61.3,59.5,64,49,48,48,51,55,1,23,3,50.5
2174,47,33,0,80,23.5,8,143.8,296.9,0.18,0.23,55.2,58.2,61.1,59.4,63.6,44,47,48,51,55,1,24,3,50.25
2174,47,29,0,88,11.3,2.9,146.63,302.8,0.19,0.22,55.1,57.8,60.8,59.5,63.8,42,45,46,51,55,1,25,3,49.25
2174,55,27,0,81,9,2.1,135.05,278.9,0.21,0.27,51.1,56.7,60.8,59,62.5,43,44,45,50,54,1,26,3,48.25
2174,60,33,0,84,11.5,2.3,114.61,236.7,0.26,0.32,50,55.5,60.7,59,61.7,45,46,46,50,54,1,27,4,49
2174,64,33,0.01,77,23.6,4.9,135.24,279.3,0.26,0.38,48.5,54.4,61.2,59,61.2,47,47,47,50,54,1,28,4,49.5
2174,48,27,0.32,74,25.7,10,159.69,329.8,0.16,0.21,54,56.9,61.1,59,61.4,44,46,48,50,54,1,29,4,49.5
2174,42,24,0,83,18.6,3.1,129.19,266.8,0.15,0.18,52.4,57,60.9,59.1,61.5,39,42,44,50,54,1,30,4,47.5
2174,57,26,0,71,12.7,3.6,161.67,333.9,0.17,0.27,49.7,55.1,60.5,59.2,60.7,42,43,44,49,54,1,31,4,47.5
2174,68,33,0,67,12.9,2.9,140.7,290.5,0.21,0.36,48,54,60.4,59.3,60.9,44,45,45,49,53,2,32,4,48
2174,71,34,0,86,10.5,1.4,134.68,278.1,0.33,0.41,47.4,53.3,59.6,59.3,61,47,47,47,49,53,2,33,4,49
2174,62,45,0,98,8,2,33.66,69.53,0.4,0.41,47.4,52.9,59.8,59.4,60.9,50,50,49,49,53,2,34,5,50.25
2174,65,47,0.07,98,12.4,4.5,29.27,60.44,0.5,0.51,48.6,54.1,60.4,59.3,60.8,52,52,51,50,53,2,35,5,51.5
2174,69,62,0,97,14.1,4.8,33.64,69.47,0.62,0.64,49.6,55.6,61.3,59.2,60.6,57,56,54,51,53,2,36,5,53.5
2174,79,65,0,88,18.1,6.6,57.97,119.7,0.66,0.76,49.9,56.4,61.4,59.7,60.9,61,59,57,52,53,2,37,5,55.25
2174,82,54,0.17,82,31.9,9.6,114.49,236.4,0.59,0.75,51.3,57.4,62,60.3,60.8,62,61,59,53,54,2,38,5,56.75
2174,54,36,0,67,23.3,11.1,132.74,274.1,0.18,0.26,53.2,58,63.4,60.3,61.1,52,56,57,55,54,2,39,5,55.5
2174,52,36,0.01,64,13.2,4.9,108.47,224,0.17,0.27,47.8,54,61.5,60,61.7,48,50,52,54,55,2,40,5,52.75
2174,58,39,0,77,13.6,4.2,49.71,102.7,0.29,0.37,46.9,52.3,60,60.2,60.9,49,50,51,54,55,2,41,6,52.5
2174,67,56,0.01,96,16.9,6.7,38.7,79.9,0.52,0.54,47,52.7,60.4,60.3,60.9,54,54,53,53,55,2,42,6,53.75
2174,67,38,0.92,87,25.3,8,23.44,48.39,0.44,0.5,54.2,57,62,60.3,61.6,56,57,56,53,55,2,43,6,55.25
2174,58,33,0,76,10.9,2.7,144.37,298.1,0.21,0.31,56.6,57.6,63,60.3,62.4,50,52,52,54,55,2,44,6,53.25
2174,62,40,0,75,16.9,5.8,56.91,117.5,0.3,0.4,55.3,57.5,62.5,60.3,61.8,50,51,52,54,55,2,45,6,53
2174,67,54,0.02,92,13.4,4.7,27.6,57.01,0.51,0.56,54.1,58.2,61.8,60.2,61.1,54,54,53,53,55,2,46,6,53.75
2174,65,43,0,95,23.7,6.1,25.85,53.37,0.33,0.35,54.9,58.1,61.9,60.4,61.7,54,55,55,54,55,2,47,6,54.75
2174,66,47,0.43,98,25.3,6.1,16.31,33.68,0.43,0.44,55.2,58.4,61.6,60.3,60.9,54,54,54,54,55,2,48,7,54.25
2174,54,40,0.21,81,16.2,7.6,72.97,150.7,0.24,0.31,54.7,58.8,61.9,60.4,61.5,50,52,53,54,55,2,49,7,53.5
2174,51,40,1.35,98,20.3,6.4,9.4,19.4,0.28,0.29,54.2,58.5,61.7,60.1,61.5,47,49,51,54,55,2,50,7,52.25
2174,65,51,0.99,98,24.4,9,16.72,34.53,0.46,0.47,54.5,58.8,61.8,59.7,61.8,52,51,51,53,55,2,51,7,52.5
2174,56,49,0.69,99,15,5.1,25.94,53.56,0.38,0.38,53.9,59.3,62,60,61.5,53,53,53,53,55,2,52,7,53.5
2174,61,53,0.05,100,11.2,3.9,31.93,65.93,0.46,0.46,54.2,59.4,61.9,59.9,61.4,54,54,54,53,55,2,53,7,54
2174,80,61,0.94,91,24.9,9.2,84.52,174.5,0.71,0.8,55.2,59.7,62.9,60.4,61.4,62,60,57,54,55,2,54,7,56.5
2174,67,42,0,61,25.9,9,205.99,425.3,0.26,0.44,54.5,59.8,63.2,60.6,60.7,58,59,59,55,55,2,55,8,57
2174,62,33,0,64,14.2,2.9,161.92,306.5,0.2,0.36,53.7,58.5,62.3,60.4,60.5,51,53,54,56,56,2,56,8,54.75
2174,69,44,0,70,7.5,1.8,90.06,186,0.3,0.47,53.6,57.5,61.7,60.5,60.6,55,55,55,55,56,2,57,8,55.25
2174,76,53,0.18,78,10.8,2.7,148.31,306.2,0.46,0.63,53.5,57.4,62,60.4,60.6,61,59,57,55,56,2,58,8,56.75
2174,74,62,0.55,93,14.7,4.7,74.95,154.8,0.6,0.65,55.6,58.5,63.4,60.9,60.3,63,62,60,56,56,2,59,8,58.5
2174,64,51,0,96,12.5,5.8,38.1,78.67,0.4,0.42,54.9,58.1,63.6,60.9,60.1,59,60,60,57,56,3,60,8,58.25
2174,55,46,0.06,88,11,4.3,62.68,129.4,0.33,0.38,54.2,57.9,63.3,61.4,60.1,56,57,57,57,57,3,61,8,57
2174,52,38,1.35,93,26,9.3,29.33,60.55,0.31,0.33,53.4,57.8,63,61.2,60.4,53,55,56,57,57,3,62,9,56.25
2174,38,32,0,74,19.3,10.9,85.32,176.2,0.15,0.21,52.2,57.1,61.7,60.7,60.4,45,49,51,56,57,3,63,9,53.25
2174,45,27,0,58,18.8,9.2,170.05,351.1,0.11,0.21,51.5,56,61.4,60.6,60.7,42,46,48,55,57,3,64,9,51.5
2174,48,24,0,69,13.9,3.2,178.77,369.2,0.14,0.22,50.1,53.7,61,60,61,43,45,47,53,57,3,65,9,50.5
2174,56,28,0,67,14.8,4.2,92.39,190.8,0.19,0.32,49.6,52.9,59.7,59.4,61.1,44,46,47,52,56,3,66,9,50.25
2174,73,53,0.01,76,22.7,7,80.53,166.3,0.47,0.62,50.7,53.2,58.7,59.5,61,54,52,51,52,56,3,67,9,52.75
2174,76,64,0.03,84,28.3,10.7,59.56,123,0.61,0.74,51.5,53.5,58.9,59.5,61,60,58,56,52,55,3,68,9,55.25
2174,74,60,0.32,83,22,3.4,91.34,188.6,0.52,0.64,54.5,57.2,61.5,60.3,60.9,62,61,59,54,55,3,69,10,57.25
2174,63,51,0.18,84,24.8,3.7,65.02,134.3,0.4,0.48,55.4,58.1,62.5,60.4,61,59,60,59,55,55,3,70,10,57.25
2174,74,48,0.01,79,11.5,3,158.8,327.9,0.4,0.55,55.6,57.9,62.5,60.4,61,59,59,58,56,56,3,71,10,57.25
2174,73,59,0,78,26.1,12,79.04,163.2,0.51,0.66,55.4,58.3,63,60.4,61.1,60,60,59,56,56,3,72,10,57.75
2174,84,63,0.01,82,26.7,10.8,98.07,202.5,0.66,0.82,54.8,57.9,62.8,60.3,61.1,65,63,62,57,56,3,73,10,59.5
2174,63,51,0,55,20.9,10,192.48,397.5,0.26,0.48,51.8,55,61.8,60.9,61.1,59,61,61,58,57,3,74,10,59.25
2174,59,43,0,56,15.4,5.1,150.1,310,0.2,0.37,49.6,52.9,57,60.8,61.2,53,56,57,58,57,3,75,10,57
2174,67,38,0,54,15.4,4.7,223.74,462,0.19,0.42,48.9,52.4,55.9,60.6,60.8,53,55,55,57,57,3,76,11,56
2174,65,37,0,58,16.4,4.9,204.75,422.8,0.2,0.41,48.3,52.1,54.9,60.1,60.9,53,54,55,57,57,3,77,11,55.75
2174,63,34,0,50,15.6,4,234.65,484.5,0.15,0.37,47.7,51.6,54.6,60.1,61.1,53,54,54,56,57,3,78,11,55.25
2174,69,33,0,63,32.5,3.8,238.1,491.6,0.22,0.42,47.7,51.5,54.2,60,61.2,55,55,55,56,57,3,79,11,55.75
2174,70,40,0,64,23,7.8,240.41,496.4,0.26,0.47,47.8,51.7,54.6,60.2,61.2,57,57,57,56,57,3,80,11,56.75
2174,71,37,0,61,17.6,3.5,250.02,516.3,0.23,0.44,47.5,51.8,54.7,60.2,61.2,58,58,57,56,57,3,81,11,57
2174,75,38,0,63,11.4,2.7,235.59,486.4,0.25,0.5,47.6,52.1,54.5,60.4,61.2,59,59,58,56,57,3,82,11,57.5
2174,77,44,0,62,18.7,4,206.85,427.1,0.3,0.58,47.9,52.1,55,60.8,61.2,61,60,59,57,57,3,83,12,58.25
2174,76,56,0.15,76,23.7,8.1,151.13,312.1,0.45,0.61,48.1,52.2,55.3,60.8,61.2,62,62,61,57,57,3,84,12,59.25
2174,65,48,0,60,21.1,10.1,154.87,319.8,0.28,0.47,47.5,51.7,54.5,61.1,61.1,59,60,60,58,57,3,85,12,58.75
2174,73,40,0,55,12.9,3.2,259.71,536.3,0.25,0.49,47.6,51.8,54.2,61.5,61.3,60,60,59,58,58,3,86,12,58.75
2174,75,44,0,58,16.8,5.8,255.78,528.2,0.27,0.55,47.7,51.8,54.3,61.4,61.2,62,61,61,58,58,3,87,12,59.5
2174,78,46,0,59,19.8,5.7,218.81,451.8,0.35,0.65,47.6,51.9,54.1,61.4,60.9,63,63,62,58,58,3,88,12,60.25
2174,78,50,0.09,75,30.9,8.9,144.36,298.1,0.51,0.7,48,52.5,54.3,61.5,60.9,66,65,64,59,58,3,89,12,61.5
2174,56,43,0.02,69,20.6,6,133.41,275.5,0.23,0.35,46.8,51.8,54,61.7,60.8,57,60,61,60,58,3,90,13,59.75
2174,64,38,0,51,13.7,4.1,263.14,543.4,0.18,0.39,46.8,51.1,53.8,61.6,60.5,57,58,58,59,59,4,91,13,58.5
2174,68,41,0,52,16.5,4.6,276.88,571.7,0.21,0.45,47.2,51.7,53.7,61.3,60.5,61,61,60,59,59,4,92,13,59.75
2174,73,38,0,60,15.4,4.2,232.22,479.5,0.24,0.51,46.8,51.4,53.8,61.6,60.4,60,61,60,59,59,4,93,13,59.75
2174,62,47,0.69,92,27.4,6.6,59.46,122.8,0.41,0.45,50.5,53.6,55.4,61.5,60,57,59,60,59,59,4,94,13,59.25
2174,74,57,0.02,90,9.4,2.2,128.61,265.6,0.55,0.63,56.4,60.3,60.6,61.5,60,63,62,60,59,59,4,95,13,60
2174,77,54,0.37,93,29.5,4,126.18,260.6,0.6,0.66,55.6,59.9,61.2,61.5,60.2,64,64,63,59,59,4,96,13,61.25
2174,83,64,0.17,90,22.6,7.1,139.86,288.8,0.68,0.77,54.5,60.9,61.1,61.8,60.2,67,66,65,60,59,4,97,14,62.5
2174,78,65,0.4,90,20.5,6.1,123.96,256,0.67,0.76,53.8,60.9,61.7,61.3,60.4,68,68,66,61,59,4,98,14,63.5
2174,79,61,0.64,86,17.2,6.5,177.49,363.7,0.61,0.73,54.1,60.6,62.7,62.1,60.4,69,68,67,62,60,4,99,14,64.25
2174,85,56,0,71,10.5,2.9,275.64,567.8,0.49,0.79,53.6,60.1,62.3,62,60.5,69,68,67,62,60,4,100,14,64.25
2174,84,60,0,67,28.2,9.5,245.87,507.7,0.54,0.85,52.3,57,61.4,62,60.5,68,68,67,63,60,4,101,14,64.5
2174,70,59,0.8,90,20.3,5.4,70.22,145,0.55,0.61,53.7,56.9,61.6,61.5,60.8,65,66,66,63,61,4,102,14,64
2174,77,60,1.7,90,34.3,9.9,104.72,215.1,0.62,0.7,56,58.8,62.5,61.9,60.5,66,65,65,63,61,4,103,14,63.5
2174,71,45,0.3,85,26.2,11.1,125.81,259.4,0.44,0.51,54.9,58.8,62.4,62.1,59.9,63,65,65,63,61,4,104,15,63.5
2174,72,43,0.01,78,10.1,1.8,299.37,617.4,0.35,0.49,54,58.1,61.4,62,60.1,61,61,62,63,61,4,105,15,61.75
2174,78,49,0,71,17.1,4.5,281.65,580.5,0.39,0.63,52.1,55.6,60.9,62,59.5,63,63,63,62,62,4,106,15,62.5
2174,77,56,0,78,14.3,5.4,196.22,405.2,0.51,0.68,50.4,54.7,59.6,61.9,59.5,64,64,64,62,61,4,107,15,62.75
2174,81,62,1.86,88,53.1,8.5,133.3,275.3,0.6,0.71,51.5,55.5,59.2,62,59.4,65,65,65,62,62,4,108,15,63.5
2174,64,48,0.05,88,27.4,14.1,107.27,221.5,0.36,0.41,55.5,58.8,62.4,62,59.4,59,62,63,63,62,4,109,15,62.5
2174,68,47,0,59,29.1,10.8,304.76,627.2,0.26,0.48,53.3,56.8,61.9,61.9,59.2,56,58,59,62,62,4,110,15,60.25
2174,80,42,0,68,12.1,2.2,305.97,628.9,0.34,0.61,50.9,55.1,60.5,61.9,59,60,60,60,61,62,4,111,16,60.75
2174,83,49,0,70,13.3,2.5,298.09,610.3,0.41,0.7,50.3,54,59.7,62,59.1,64,64,63,61,61,4,112,16,62.25
2174,83,54,0,71,15.4,3,228.5,469.6,0.46,0.73,49.8,54.3,57.5,62,59.3,66,66,65,62,61,4,113,16,63.5
2174,84,61,0,71,17.5,5.1,263.21,541.3,0.51,0.82,50,54.3,57.6,62,59.2,70,68,67,62,61,4,114,16,64.5
2174,69,61,1.5,97,26.2,6.2,34.11,69.67,0.6,0.62,54.1,57.2,60,62.3,59.3,66,68,67,63,62,4,115,16,65
2174,75,53,0,76,22.9,8.2,298.1,608.8,0.46,0.65,57,58.3,61.7,62,59.2,65,66,66,64,62,4,116,16,64.5
2174,81,49,0,64,17.5,4.8,301.7,616.1,0.38,0.7,52.6,56.2,61.4,61.5,59,64,65,65,64,62,4,117,16,64
2174,82,60,0,75,13.4,3.5,244.16,498.6,0.57,0.78,51,55.4,60.6,61.5,58.9,68,67,66,64,62,4,118,17,64.75
2174,85,59,0,69,16.8,4.7,305.21,625.7,0.52,0.84,50.8,55.4,58.1,61.4,58.9,71,70,68,64,63,4,119,17,66.25
2174,85,59,0,71,20.2,5.3,256.78,524.5,0.58,0.86,50.3,54.5,58.5,61.7,58.9,72,71,70,64,63,4,120,17,67
2174,86,67,0,79,17.6,5.5,219.64,453.5,0.68,0.9,50.4,55.3,57.7,62.1,59,74,73,71,65,63,5,121,17,68
2174,87,64,0,73,18,5.2,251.47,514.1,0.63,0.94,50.4,55.1,57.8,62.3,59,75,75,73,66,63,5,122,17,69.25
2174,86,64,0,73,10.9,3.2,214.2,437.4,0.63,0.9,50.2,54.8,57.8,62.6,59.9,76,76,74,67,64,5,123,17,70.25
2174,76,67,1.19,94,11.7,3.1,73.67,150.5,0.71,0.75,51.8,56.4,58.6,62.5,60,74,75,74,68,64,5,124,17,70.25
2174,72,57,0,89,16.1,5.7,147.07,300.3,0.56,0.63,57.9,60.3,62.9,62.8,60.1,70,71,71,68,65,5,125,18,68.75
2174,82,54,0,80,9.7,1.8,222.81,455,0.53,0.73,55.4,57.7,62.3,62.9,60.1,71,70,70,68,65,5,126,18,68.25
2174,84,58,0,80,10.2,2.3,202.75,414,0.6,0.81,52.4,55.8,60.2,63,60.2,73,73,72,68,65,5,127,18,69.5
2174,87,61,0.02,72,23.1,6,212.48,433.9,0.61,0.92,51.4,55.4,60.2,63,59.9,73,73,72,68,65,5,128,18,69.5
2174,74,65,2.32,98,22.7,5,30.25,61.77,0.67,0.68,56.6,59.7,61.2,62.7,59.6,70,72,72,69,65,5,129,18,69.5
2174,76,66,0.33,96,12.8,2.4,80.93,165.3,0.7,0.73,55.8,60.5,61.4,61.8,59.4,70,70,70,69,66,5,130,18,68.75
2174,82,68,1.57,95,18.4,4.7,105.31,215,0.74,0.79,55,60.6,61.4,62,59.2,72,72,71,68,66,5,131,18,69.25
2174,76,63,0.37,93,14.4,3.1,125.44,256.2,0.68,0.73,54.6,60.1,61.2,62.1,60,72,72,71,68,66,5,132,19,69.25
2174,76,57,0,79,13.6,3.2,298.37,609.3,0.49,0.67,54.4,58.4,61.4,62,59.9,71,71,71,68,66,5,133,19,69
2174,77,54,0,79,13.4,2.8,312.65,638.5,0.47,0.65,52.9,57.2,61.9,61.6,59.9,70,70,70,68,66,5,134,19,68.5
2174,84,56,0,77,10.7,2.2,296.43,605.7,0.56,0.79,52,55.1,60.2,62.2,59.2,71,71,70,68,66,5,135,19,68.75
2174,90,64,0,73,10.5,2.9,283.44,578.7,0.66,0.99,51.5,55.7,59,62.3,59.3,75,74,73,68,66,5,136,19,70.25
2174,89,64,0,75,11,2.2,266.57,544.6,0.67,0.98,51.6,55.8,58.3,62.8,59.4,77,76,75,69,66,5,137,19,71.5
2174,88,64,0,72,15.9,5.3,286.2,588.6,0.66,0.96,51.1,55.5,58.9,63,59.3,78,77,76,70,67,5,138,19,72.5
2174,83,67,0,82,17.5,5.2,137.46,283,0.7,0.87,50.4,54.8,57.5,62.7,59.6,76,77,76,71,67,5,139,20,72.75
2174,90,66,0,80,8,2,262.81,541.8,0.73,0.98,50.9,55,57.4,62.3,59.4,79,78,76,71,67,5,140,20,73
2174,90,68,0,78,16.9,5.7,267.2,547.8,0.75,1.03,50.8,55,57,62.4,59.9,81,80,78,71,68,5,141,20,74.25
2174,91,69,0,78,14.4,4.4,292.6,597.5,0.76,1.03,51,55.2,58.3,62.5,59.6,82,81,80,72,68,5,142,20,75.25
2174,92,67,0,78,10.7,2.4,284.38,580.8,0.76,1.05,50.7,55.1,58.2,62.6,59.4,83,82,81,73,69,5,143,20,76.25
2174,92,70,0,75,12,2.4,266.86,544.9,0.78,1.11,51,55.4,58.2,63.2,59.5,85,84,82,73,69,5,144,20,77
2174,94,70,0,72,12.8,2.1,290.3,592.8,0.73,1.13,50.7,55,58.1,62.7,59.5,86,85,83,74,69,5,145,20,77.75
2174,96,67,0,73,9.9,1.7,289.58,593.1,0.74,1.14,50.5,55.5,58.1,62.6,59.4,86,85,84,75,70,5,146,21,78.5
2174,93,70,0,73,13,2.6,270.1,552.9,0.75,1.12,50.6,55,57.7,62.9,59.3,86,86,84,76,70,5,147,21,79
2174,93,72,0,74,13.3,3.8,260.97,536,0.77,1.11,50.4,55.2,57.4,63.2,59.2,86,86,84,76,71,5,148,21,79.25
2174,92,66,0,71,14.3,3.7,279.01,570.1,0.7,1.07,50.2,54.7,57.3,63.1,58.4,85,85,84,77,71,5,149,21,79.25
2174,90,67,0,73,13.9,3.4,244.98,503.1,0.7,1.02,49.7,54.5,55.7,62.9,58.4,84,84,84,77,72,5,150,21,79.25
2174,91,66,0,70,13.1,2.8,277.03,569,0.64,1.01,49.4,54.2,55.8,63.2,58.5,85,85,83,77,72,5,151,21,79.25
2174,92,65,0,69,13.2,2.2,283.57,582.6,0.62,1.02,49.1,54.6,56.2,62.9,59.1,85,85,84,77,72,6,152,21,79.5
2174,94,65,0,68,12.2,2,293.49,602.5,0.65,1.1,49.3,54.9,55.7,62.7,59.2,86,85,84,78,73,6,153,22,80
2174,94,68,0,70,9.6,2,282.93,580.1,0.7,1.1,49,54.7,55.7,63.1,59.3,88,87,85,78,73,6,154,22,80.75
2174,93,70,0,76,8,1.6,189.88,387.8,0.8,1.09,48.5,54.8,56.6,62.8,59.6,87,87,85,78,73,6,155,22,80.75
2174,87,72,0.08,89,15.9,1.8,105.31,216,0.88,1,47.8,53.9,55.9,64.2,59.2,84,85,85,79,73,6,156,22,80.5
2174,84,70,0.74,96,14.2,4.5,115.92,239.1,0.85,0.9,51.8,55.5,57.5,65,61,80,82,82,79,74,6,157,22,79.25
2174,86,71,0.63,93,11.8,3,154.18,314.8,0.84,0.92,54,57.7,58.9,65,60.3,80,81,81,78,74,6,158,22,78.5
2174,86,71,0.07,92,10.2,2,172.28,355.7,0.82,0.9,57.7,60.7,60.7,64,59.8,80,81,80,77,74,6,159,22,78
2174,86,69,0.22,89,15.8,2.9,249.76,514.8,0.84,0.96,55.2,58.7,61.3,64.7,59.7,81,82,80,77,74,6,160,23,78.25
2174,89,71,0,78,16,5.4,289.21,595.1,0.78,1.05,54.8,58.1,61.6,64.7,59.8,82,83,81,77,74,6,161,23,78.75
2174,81,61,0,64,15.3,4,273.43,564.1,0.49,0.8,51,55.2,57.6,64.5,59.7,78,80,80,77,74,6,162,23,77.75
2174,83,59,0,77,9.5,1.7,241.85,499.4,0.57,0.79,48.5,54.2,56.4,64.6,59.8,77,79,78,76,74,6,163,23,76.75
2174,83,58,0,71,12.7,2.8,316.67,653.5,0.5,0.8,42.1,53.6,56,63.8,59.7,79,80,78,76,74,6,164,23,77
2174,86,55,0,73,9.7,1.9,311.19,640.9,0.52,0.82,34.8,53.7,55.5,64.4,60.3,81,81,80,76,74,6,165,23,77.75
2174,90,64,0,77,13.7,3,265.24,545.4,0.72,0.99,32.5,54.2,55.2,64.5,61,83,83,81,76,74,6,166,23,78.5
2174,92,71,0,76,16.3,3.2,259.1,531.4,0.82,1.13,32.2,54.2,55.3,64.5,60.6,85,85,83,76,74,6,167,24,79.5
2174,88,70,0.04,86,12.8,2.3,192.54,394.1,0.82,0.98,31.5,53.1,55,64.5,60.4,84,85,83,77,74,6,168,24,79.75
2174,87,72,0.38,90,18.1,2.7,166.87,342.6,0.86,0.97,31.4,52.9,54.8,63.5,60.3,81,83,82,77,74,6,169,24,79
2174,92,73,0.01,81,11.9,3.1,260.82,535.8,0.88,1.12,31.6,52.1,54.8,62.9,60,82,84,81,77,74,6,170,24,79
2174,91,69,0.39,83,30.5,3.3,265.55,542.4,0.82,1.03,51.1,56.7,60.2,64,59.8,81,82,81,77,74,6,171,24,78.5
2174,94,72,0,82,12.3,2.7,280.2,573.8,0.93,1.19,40.3,53.7,55.5,63.7,59.7,83,84,82,77,74,6,172,24,79.25
2174,96,73,0,81,10.8,3.3,260.81,532.5,0.92,1.19,33.6,51.5,53.8,63.9,59.7,84,85,83,77,74,6,173,24,79.75
2174,94,72,0.03,82,12.6,3.2,262.54,536.2,0.9,1.15,31.6,47.9,54,63.7,59.7,83,85,83,77,74,6,174,25,79.75
2174,88,70,0,81,14.4,4.2,183.17,374,0.85,1.07,31.2,44,53.9,62.9,59.7,82,84,82,77,75,6,175,25,79.5
